n,scenario,run_id,method,noise_sigma,pearson_r,fdr,sca
5,One Free-rider,31,Equal,,0.000000,0.000000,0.722853
5,One Free-rider,31,Peer,8.0,0.964173,1.000000,0.927985
5,One Free-rider,31,Instructor,12.0,0.955058,1.000000,0.952470
5,One Free-rider,31,CATME,5.0,0.958800,1.000000,0.934192
5,One Free-rider,31,Shapley (clean),0.0,0.973636,1.000000,0.980411
5,One Free-rider,31,Shapley (noisy),4.0,-0.314654,0.000000,0.875735
5,One Free-rider,31,Shapley (noisy),8.0,0.535325,0.000000,0.477147
5,One Free-rider,31,Shapley (noisy),12.0,0.026979,0.000000,0.677147
5,One Free-rider,31,Shapley (noisy),16.0,-0.154728,0.000000,0.477147
5,One Free-rider,31,Shapley (noisy),20.0,-0.292507,0.000000,0.677147
5,One Free-rider,32,Equal,,0.000000,0.000000,0.689154
5,One Free-rider,32,Peer,8.0,0.959544,1.000000,0.929723
5,One Free-rider,32,Instructor,12.0,0.873245,1.000000,0.962863
5,One Free-rider,32,CATME,5.0,0.939965,1.000000,0.940112
5,One Free-rider,32,Shapley (clean),0.0,0.966902,1.000000,0.960888
5,One Free-rider,32,Shapley (noisy),4.0,-0.217986,0.000000,0.873754
5,One Free-rider,32,Shapley (noisy),8.0,-0.214230,0.000000,0.910846
5,One Free-rider,32,Shapley (noisy),12.0,-0.416854,0.000000,0.910846
5,One Free-rider,32,Shapley (noisy),16.0,-0.416854,0.000000,0.910846
5,One Free-rider,32,Shapley (noisy),20.0,-0.416854,0.000000,0.910846
5,One Free-rider,33,Equal,,0.000000,0.000000,0.752841
5,One Free-rider,33,Peer,8.0,0.753611,1.000000,0.951121
5,One Free-rider,33,Instructor,12.0,0.942374,1.000000,0.921679
5,One Free-rider,33,CATME,5.0,0.946139,1.000000,0.981414
5,One Free-rider,33,Shapley (clean),0.0,0.976237,1.000000,0.994651
5,One Free-rider,33,Shapley (noisy),4.0,-0.169606,0.000000,0.627622
5,One Free-rider,33,Shapley (noisy),8.0,0.361802,0.000000,0.447159
5,One Free-rider,33,Shapley (noisy),12.0,0.900646,1.000000,0.952841
5,One Free-rider,33,Shapley (noisy),16.0,-0.334996,0.000000,0.847159
5,One Free-rider,33,Shapley (noisy),20.0,-0.900646,0.000000,0.447159
5,One Free-rider,34,Equal,,0.000000,0.000000,0.662090
5,One Free-rider,34,Peer,8.0,0.932474,1.000000,0.920734
5,One Free-rider,34,Instructor,12.0,0.928695,1.000000,0.946088
5,One Free-rider,34,CATME,5.0,0.963597,1.000000,0.962355
5,One Free-rider,34,Shapley (clean),0.0,0.965408,1.000000,0.987042
5,One Free-rider,34,Shapley (noisy),4.0,0.085778,0.500000,0.937910
5,One Free-rider,34,Shapley (noisy),8.0,-0.703818,0.000000,0.937910
5,One Free-rider,34,Shapley (noisy),12.0,-0.249690,0.000000,0.862090
5,One Free-rider,34,Shapley (noisy),16.0,-0.703818,0.000000,0.937910
5,One Free-rider,34,Shapley (noisy),20.0,0.724231,0.000000,0.737910
5,One Free-rider,35,Equal,,0.000000,,0.825974
5,One Free-rider,35,Peer,8.0,0.947851,,0.992256
5,One Free-rider,35,Instructor,12.0,0.826133,,0.969039
5,One Free-rider,35,CATME,5.0,0.924609,,0.933497
5,One Free-rider,35,Shapley (clean),0.0,0.943455,,0.924742
5,One Free-rider,35,Shapley (noisy),4.0,-0.212901,,0.774026
5,One Free-rider,35,Shapley (noisy),8.0,0.212901,,0.574026
5,One Free-rider,35,Shapley (noisy),12.0,-0.150065,,0.574026
5,One Free-rider,35,Shapley (noisy),16.0,-0.473255,,0.457787
5,One Free-rider,35,Shapley (noisy),20.0,0.076957,,0.974026
5,One Free-rider,36,Equal,,0.000000,0.000000,0.746724
5,One Free-rider,36,Peer,8.0,0.953246,1.000000,0.931323
5,One Free-rider,36,Instructor,12.0,0.947071,1.000000,0.995238
5,One Free-rider,36,CATME,5.0,0.955452,1.000000,0.979874
5,One Free-rider,36,Shapley (clean),0.0,0.952638,1.000000,0.946724
5,One Free-rider,36,Shapley (noisy),4.0,0.351288,1.000000,0.853276
5,One Free-rider,36,Shapley (noisy),8.0,0.710212,1.000000,0.853276
5,One Free-rider,36,Shapley (noisy),12.0,0.710212,1.000000,0.853276
5,One Free-rider,36,Shapley (noisy),16.0,0.522400,0.000000,0.453276
5,One Free-rider,36,Shapley (noisy),20.0,-0.494152,0.000000,0.853276
5,One Free-rider,37,Equal,,0.000000,0.000000,0.679602
5,One Free-rider,37,Peer,8.0,0.909919,1.000000,0.922016
5,One Free-rider,37,Instructor,12.0,0.866001,1.000000,0.967342
5,One Free-rider,37,CATME,5.0,0.908250,1.000000,0.941419
5,One Free-rider,37,Shapley (clean),0.0,0.907759,1.000000,0.942761
5,One Free-rider,37,Shapley (noisy),4.0,0.168112,0.000000,0.803768
5,One Free-rider,37,Shapley (noisy),8.0,-0.185451,0.000000,0.720398
5,One Free-rider,37,Shapley (noisy),12.0,-0.475760,0.000000,0.720398
5,One Free-rider,37,Shapley (noisy),16.0,0.809815,0.000000,0.520398
5,One Free-rider,37,Shapley (noisy),20.0,0.141051,0.000000,0.720398
5,One Free-rider,38,Equal,,0.000000,0.000000,0.769231
5,One Free-rider,38,Peer,8.0,0.941337,1.000000,0.923318
5,One Free-rider,38,Instructor,12.0,0.946364,1.000000,0.967207
5,One Free-rider,38,CATME,5.0,0.974482,1.000000,0.965199
5,One Free-rider,38,Shapley (clean),0.0,0.964521,1.000000,0.900651
5,One Free-rider,38,Shapley (noisy),4.0,0.000000,0.000000,0.769231
5,One Free-rider,38,Shapley (noisy),8.0,-0.660060,0.000000,0.969231
5,One Free-rider,38,Shapley (noisy),12.0,-0.527506,0.000000,0.630769
5,One Free-rider,38,Shapley (noisy),16.0,0.370489,0.000000,0.430769
5,One Free-rider,38,Shapley (noisy),20.0,-0.904556,0.000000,0.630769
5,One Free-rider,39,Equal,,0.000000,,0.848446
5,One Free-rider,39,Peer,8.0,0.907878,,0.983172
5,One Free-rider,39,Instructor,12.0,0.993490,,0.950081
5,One Free-rider,39,CATME,5.0,0.951582,,0.983708
5,One Free-rider,39,Shapley (clean),0.0,0.989480,,0.910389
5,One Free-rider,39,Shapley (noisy),4.0,-0.805325,,0.551554
5,One Free-rider,39,Shapley (noisy),8.0,0.417436,,0.551554
5,One Free-rider,39,Shapley (noisy),12.0,-0.475066,,0.951554
5,One Free-rider,39,Shapley (noisy),16.0,0.554572,,0.551554
5,One Free-rider,39,Shapley (noisy),20.0,-0.044879,,0.351554
5,One Free-rider,40,Equal,,0.000000,0.000000,0.769693
5,One Free-rider,40,Peer,8.0,0.962812,1.000000,0.996705
5,One Free-rider,40,Instructor,12.0,0.945533,1.000000,0.994834
5,One Free-rider,40,CATME,5.0,0.997548,1.000000,0.983461
5,One Free-rider,40,Shapley (clean),0.0,0.991815,1.000000,0.997769
5,One Free-rider,40,Shapley (noisy),4.0,0.214098,0.000000,0.630307
5,One Free-rider,40,Shapley (noisy),8.0,0.588706,0.000000,0.630307
5,One Free-rider,40,Shapley (noisy),12.0,-0.061435,0.000000,0.430307
5,One Free-rider,40,Shapley (noisy),16.0,0.061435,0.000000,0.969693
5,One Free-rider,40,Shapley (noisy),20.0,0.214098,0.000000,0.630307
5,One Free-rider,41,Equal,,0.000000,0.000000,0.699617
5,One Free-rider,41,Peer,8.0,0.963633,1.000000,0.924629
5,One Free-rider,41,Instructor,12.0,0.958815,1.000000,0.931150
5,One Free-rider,41,CATME,5.0,0.971163,1.000000,0.933025
5,One Free-rider,41,Shapley (clean),0.0,0.963128,1.000000,0.967454
5,One Free-rider,41,Shapley (noisy),4.0,-0.804500,0.000000,0.900383
5,One Free-rider,41,Shapley (noisy),8.0,-0.185047,0.000000,0.700383
5,One Free-rider,41,Shapley (noisy),12.0,-0.148191,0.000000,0.700383
5,One Free-rider,41,Shapley (noisy),16.0,0.577175,0.000000,0.500383
5,One Free-rider,41,Shapley (noisy),20.0,-0.601623,0.000000,0.900383
5,One Free-rider,42,Equal,,0.000000,0.000000,0.734516
5,One Free-rider,42,Peer,8.0,0.937215,1.000000,0.939644
5,One Free-rider,42,Instructor,12.0,0.933597,1.000000,0.960454
5,One Free-rider,42,CATME,5.0,0.996036,1.000000,0.948629
5,One Free-rider,42,Shapley (clean),0.0,0.998339,1.000000,0.936991
5,One Free-rider,42,Shapley (noisy),4.0,-0.002836,0.000000,0.865484
5,One Free-rider,42,Shapley (noisy),8.0,-0.350054,0.000000,0.934516
5,One Free-rider,42,Shapley (noisy),12.0,-0.043176,0.000000,0.665484
5,One Free-rider,42,Shapley (noisy),16.0,-0.002836,0.000000,0.865484
5,One Free-rider,42,Shapley (noisy),20.0,-0.308295,0.000000,0.665484
5,One Free-rider,43,Equal,,0.000000,0.000000,0.775107
5,One Free-rider,43,Peer,8.0,0.994585,1.000000,0.986540
5,One Free-rider,43,Instructor,12.0,0.998974,1.000000,0.953206
5,One Free-rider,43,CATME,5.0,0.993944,1.000000,0.983896
5,One Free-rider,43,Shapley (clean),0.0,0.989563,1.000000,0.975107
5,One Free-rider,43,Shapley (noisy),4.0,-0.156782,0.000000,0.979529
5,One Free-rider,43,Shapley (noisy),8.0,0.585486,1.000000,0.824893
5,One Free-rider,43,Shapley (noisy),12.0,-0.272492,0.000000,0.975107
5,One Free-rider,43,Shapley (noisy),16.0,-0.518927,0.000000,0.824893
5,One Free-rider,43,Shapley (noisy),20.0,-0.585486,0.000000,0.624893
5,One Free-rider,44,Equal,,0.000000,0.000000,0.852295
5,One Free-rider,44,Peer,8.0,0.903227,1.000000,0.990474
5,One Free-rider,44,Instructor,12.0,0.912979,1.000000,0.948225
5,One Free-rider,44,CATME,5.0,0.948407,1.000000,0.997160
5,One Free-rider,44,Shapley (clean),0.0,0.985543,1.000000,0.920019
5,One Free-rider,44,Shapley (noisy),4.0,-0.929703,0.000000,0.547705
5,One Free-rider,44,Shapley (noisy),8.0,0.000000,0.000000,0.852295
5,One Free-rider,44,Shapley (noisy),12.0,0.186052,0.000000,0.547705
5,One Free-rider,44,Shapley (noisy),16.0,-0.563724,0.000000,0.947705
5,One Free-rider,44,Shapley (noisy),20.0,0.363985,1.000000,0.747705
5,One Free-rider,45,Equal,,0.000000,0.000000,0.735732
5,One Free-rider,45,Peer,8.0,0.851725,1.000000,0.997389
5,One Free-rider,45,Instructor,12.0,0.858112,1.000000,0.963270
5,One Free-rider,45,CATME,5.0,0.890923,1.000000,0.919393
5,One Free-rider,45,Shapley (clean),0.0,0.937846,1.000000,0.886869
5,One Free-rider,45,Shapley (noisy),4.0,-0.121780,0.000000,0.664268
5,One Free-rider,45,Shapley (noisy),8.0,-0.121780,0.000000,0.664268
5,One Free-rider,45,Shapley (noisy),12.0,0.579944,0.000000,0.664268
5,One Free-rider,45,Shapley (noisy),16.0,-0.579944,0.000000,0.864268
5,One Free-rider,45,Shapley (noisy),20.0,0.524956,0.000000,0.864268
5,One Free-rider,46,Equal,,0.000000,0.000000,0.718318
5,One Free-rider,46,Peer,8.0,0.949048,1.000000,0.996996
5,One Free-rider,46,Instructor,12.0,0.939030,1.000000,0.996820
5,One Free-rider,46,CATME,5.0,0.970340,1.000000,0.897129
5,One Free-rider,46,Shapley (clean),0.0,0.940079,1.000000,0.990389
5,One Free-rider,46,Shapley (noisy),4.0,0.523467,1.000000,0.881682
5,One Free-rider,46,Shapley (noisy),8.0,-0.640799,0.000000,0.881682
5,One Free-rider,46,Shapley (noisy),12.0,0.110094,0.000000,0.481682
5,One Free-rider,46,Shapley (noisy),16.0,0.206922,0.000000,0.481682
5,One Free-rider,46,Shapley (noisy),20.0,0.000000,0.000000,0.718318
5,One Free-rider,47,Equal,,0.000000,0.000000,0.784425
5,One Free-rider,47,Peer,8.0,0.962401,1.000000,0.995492
5,One Free-rider,47,Instructor,12.0,0.962994,1.000000,0.999439
5,One Free-rider,47,CATME,5.0,0.979533,1.000000,0.980456
5,One Free-rider,47,Shapley (clean),0.0,0.979516,1.000000,0.993433
5,One Free-rider,47,Shapley (noisy),4.0,-0.248688,0.000000,0.815575
5,One Free-rider,47,Shapley (noisy),8.0,0.624999,1.000000,0.787988
5,One Free-rider,47,Shapley (noisy),12.0,0.398000,1.000000,0.815575
5,One Free-rider,47,Shapley (noisy),16.0,0.471938,0.000000,0.415575
5,One Free-rider,47,Shapley (noisy),20.0,-0.471938,0.000000,0.984425
5,One Free-rider,48,Equal,,0.000000,0.000000,0.596521
5,One Free-rider,48,Peer,8.0,0.891177,0.500000,0.984765
5,One Free-rider,48,Instructor,12.0,0.522235,0.500000,0.813951
5,One Free-rider,48,CATME,5.0,0.959129,0.500000,0.795864
5,One Free-rider,48,Shapley (clean),0.0,0.909439,0.500000,0.859956
5,One Free-rider,48,Shapley (noisy),4.0,-0.046426,0.000000,0.803479
5,One Free-rider,48,Shapley (noisy),8.0,-0.399164,0.000000,0.603479
5,One Free-rider,48,Shapley (noisy),12.0,0.484599,0.000000,0.803479
5,One Free-rider,48,Shapley (noisy),16.0,-0.424444,0.000000,0.603479
5,One Free-rider,48,Shapley (noisy),20.0,-0.399164,0.000000,0.603479
5,One Free-rider,49,Equal,,0.000000,,0.819906
5,One Free-rider,49,Peer,8.0,0.940758,,0.978165
5,One Free-rider,49,Instructor,12.0,0.889072,,0.991696
5,One Free-rider,49,CATME,5.0,0.978919,,0.977384
5,One Free-rider,49,Shapley (clean),0.0,0.970296,,0.917768
5,One Free-rider,49,Shapley (noisy),4.0,-0.894389,,0.580094
5,One Free-rider,49,Shapley (noisy),8.0,0.179089,,0.580094
5,One Free-rider,49,Shapley (noisy),12.0,-0.077168,,0.580094
5,One Free-rider,49,Shapley (noisy),16.0,0.000000,,0.819906
5,One Free-rider,49,Shapley (noisy),20.0,0.481657,,0.980094
5,One Free-rider,50,Equal,,0.000000,0.000000,0.746460
5,One Free-rider,50,Peer,8.0,0.969310,1.000000,0.930107
5,One Free-rider,50,Instructor,12.0,0.992219,1.000000,0.900783
5,One Free-rider,50,CATME,5.0,0.976991,1.000000,0.942344
5,One Free-rider,50,Shapley (clean),0.0,0.969247,1.000000,0.886825
5,One Free-rider,50,Shapley (noisy),4.0,-0.039771,1.000000,0.853540
5,One Free-rider,50,Shapley (noisy),8.0,0.099783,0.000000,0.853540
5,One Free-rider,50,Shapley (noisy),12.0,-0.063178,0.000000,0.946460
5,One Free-rider,50,Shapley (noisy),16.0,0.344368,1.000000,0.853540
5,One Free-rider,50,Shapley (noisy),20.0,0.879875,0.000000,0.653540
5,One Free-rider,51,Equal,,0.000000,0.000000,0.807005
5,One Free-rider,51,Peer,8.0,0.952742,1.000000,0.929917
5,One Free-rider,51,Instructor,12.0,0.917983,1.000000,0.969491
5,One Free-rider,51,CATME,5.0,0.948236,1.000000,0.977665
5,One Free-rider,51,Shapley (clean),0.0,0.993789,1.000000,0.935773
5,One Free-rider,51,Shapley (noisy),4.0,0.174192,0.000000,0.592995
5,One Free-rider,51,Shapley (noisy),8.0,0.592673,0.000000,0.515003
5,One Free-rider,51,Shapley (noisy),12.0,0.910590,1.000000,0.992995
5,One Free-rider,51,Shapley (noisy),16.0,-0.516900,0.000000,0.592995
5,One Free-rider,51,Shapley (noisy),20.0,0.419731,0.000000,0.392995
5,One Free-rider,52,Equal,,0.000000,0.000000,0.812428
5,One Free-rider,52,Peer,8.0,0.922687,1.000000,0.978235
5,One Free-rider,52,Instructor,12.0,0.277885,1.000000,0.897641
5,One Free-rider,52,CATME,5.0,0.950348,1.000000,0.989614
5,One Free-rider,52,Shapley (clean),0.0,0.979807,1.000000,0.911352
5,One Free-rider,52,Shapley (noisy),4.0,0.309258,0.000000,0.787572
5,One Free-rider,52,Shapley (noisy),8.0,-0.298847,0.000000,0.787572
5,One Free-rider,52,Shapley (noisy),12.0,0.058671,1.000000,0.787572
5,One Free-rider,52,Shapley (noisy),16.0,0.132483,0.000000,0.587572
5,One Free-rider,52,Shapley (noisy),20.0,-0.058671,0.000000,0.587572
5,One Free-rider,53,Equal,,0.000000,0.000000,0.684627
5,One Free-rider,53,Peer,8.0,0.940601,1.000000,0.940699
5,One Free-rider,53,Instructor,12.0,0.865971,0.500000,0.886125
5,One Free-rider,53,CATME,5.0,0.947773,1.000000,0.933873
5,One Free-rider,53,Shapley (clean),0.0,0.947834,1.000000,0.972920
5,One Free-rider,53,Shapley (noisy),4.0,0.413686,0.500000,0.915373
5,One Free-rider,53,Shapley (noisy),8.0,0.154040,0.500000,0.915373
5,One Free-rider,53,Shapley (noisy),12.0,0.823873,0.500000,0.884627
5,One Free-rider,53,Shapley (noisy),16.0,0.635213,0.000000,0.515373
5,One Free-rider,53,Shapley (noisy),20.0,0.000000,0.000000,0.684627
5,One Free-rider,54,Equal,,0.000000,0.000000,0.645666
5,One Free-rider,54,Peer,8.0,0.944504,1.000000,0.918657
5,One Free-rider,54,Instructor,12.0,0.914739,1.000000,0.963001
5,One Free-rider,54,CATME,5.0,0.991818,1.000000,0.940487
5,One Free-rider,54,Shapley (clean),0.0,0.970534,1.000000,0.943293
5,One Free-rider,54,Shapley (noisy),4.0,0.853286,1.000000,0.944922
5,One Free-rider,54,Shapley (noisy),8.0,0.396066,1.000000,0.761054
5,One Free-rider,54,Shapley (noisy),12.0,-0.644445,0.000000,0.554334
5,One Free-rider,54,Shapley (noisy),16.0,0.000000,0.000000,0.645666
5,One Free-rider,54,Shapley (noisy),20.0,0.868358,1.000000,0.954334
5,One Free-rider,55,Equal,,0.000000,0.000000,0.772498
5,One Free-rider,55,Peer,8.0,0.952666,1.000000,0.992856
5,One Free-rider,55,Instructor,12.0,0.905433,1.000000,0.961302
5,One Free-rider,55,CATME,5.0,0.956423,1.000000,0.999330
5,One Free-rider,55,Shapley (clean),0.0,0.973203,1.000000,0.949360
5,One Free-rider,55,Shapley (noisy),4.0,-0.842091,0.000000,0.627502
5,One Free-rider,55,Shapley (noisy),8.0,-0.089608,0.000000,0.972498
5,One Free-rider,55,Shapley (noisy),12.0,0.089608,0.000000,0.427502
5,One Free-rider,55,Shapley (noisy),16.0,-0.068798,0.000000,0.627502
5,One Free-rider,55,Shapley (noisy),20.0,0.347435,0.000000,0.627502
5,One Free-rider,56,Equal,,0.000000,0.000000,0.767471
5,One Free-rider,56,Peer,8.0,0.986801,1.000000,0.951508
5,One Free-rider,56,Instructor,12.0,0.959973,1.000000,0.983046
5,One Free-rider,56,CATME,5.0,0.985292,1.000000,0.992546
5,One Free-rider,56,Shapley (clean),0.0,0.991895,1.000000,0.983981
5,One Free-rider,56,Shapley (noisy),4.0,-0.418361,0.000000,0.632529
5,One Free-rider,56,Shapley (noisy),8.0,-0.207548,0.000000,0.832529
5,One Free-rider,56,Shapley (noisy),12.0,-0.125639,0.000000,0.432529
5,One Free-rider,56,Shapley (noisy),16.0,-0.444334,0.000000,0.632529
5,One Free-rider,56,Shapley (noisy),20.0,0.520945,0.000000,0.632529
5,One Free-rider,57,Equal,,0.000000,0.000000,0.761983
5,One Free-rider,57,Peer,8.0,0.914441,1.000000,0.972838
5,One Free-rider,57,Instructor,12.0,0.992977,1.000000,0.990199
5,One Free-rider,57,CATME,5.0,0.962120,1.000000,0.975595
5,One Free-rider,57,Shapley (clean),0.0,0.977144,1.000000,0.961983
5,One Free-rider,57,Shapley (noisy),4.0,-0.391691,0.000000,0.838017
5,One Free-rider,57,Shapley (noisy),8.0,0.399093,0.000000,0.638017
5,One Free-rider,57,Shapley (noisy),12.0,0.129850,0.000000,0.438017
5,One Free-rider,57,Shapley (noisy),16.0,0.204994,0.000000,0.638017
5,One Free-rider,57,Shapley (noisy),20.0,0.698863,1.000000,0.838017
5,One Free-rider,58,Equal,,0.000000,0.000000,0.722667
5,One Free-rider,58,Peer,8.0,0.958422,1.000000,0.961988
5,One Free-rider,58,Instructor,12.0,0.993980,1.000000,0.981458
5,One Free-rider,58,CATME,5.0,0.981601,1.000000,0.961168
5,One Free-rider,58,Shapley (clean),0.0,0.971778,1.000000,0.958541
5,One Free-rider,58,Shapley (noisy),4.0,-0.377936,0.000000,0.950379
5,One Free-rider,58,Shapley (noisy),8.0,0.917212,1.000000,0.922667
5,One Free-rider,58,Shapley (noisy),12.0,-0.452644,0.000000,0.877333
5,One Free-rider,58,Shapley (noisy),16.0,0.452644,0.000000,0.677333
5,One Free-rider,58,Shapley (noisy),20.0,-0.611236,0.000000,0.677333
5,One Free-rider,59,Equal,,0.000000,0.000000,0.752064
5,One Free-rider,59,Peer,8.0,0.955515,1.000000,0.988395
5,One Free-rider,59,Instructor,12.0,0.857126,1.000000,0.936121
5,One Free-rider,59,CATME,5.0,0.942715,1.000000,0.965060
5,One Free-rider,59,Shapley (clean),0.0,0.951790,1.000000,0.971263
5,One Free-rider,59,Shapley (noisy),4.0,0.022001,0.000000,0.647936
5,One Free-rider,59,Shapley (noisy),8.0,0.022001,0.000000,0.647936
5,One Free-rider,59,Shapley (noisy),12.0,-0.854568,0.000000,0.647936
5,One Free-rider,59,Shapley (noisy),16.0,0.635780,0.000000,0.447936
5,One Free-rider,59,Shapley (noisy),20.0,0.854568,1.000000,0.847936
5,One Free-rider,60,Equal,,0.000000,0.000000,0.647561
5,One Free-rider,60,Peer,8.0,0.968306,1.000000,0.988345
5,One Free-rider,60,Instructor,12.0,0.899499,1.000000,0.975030
5,One Free-rider,60,CATME,5.0,0.961612,1.000000,0.891672
5,One Free-rider,60,Shapley (clean),0.0,0.952032,1.000000,0.971552
5,One Free-rider,60,Shapley (noisy),4.0,0.325325,0.000000,0.952439
5,One Free-rider,60,Shapley (noisy),8.0,0.679506,1.000000,0.847561
5,One Free-rider,60,Shapley (noisy),12.0,0.880140,0.000000,0.752439
5,One Free-rider,60,Shapley (noisy),16.0,-0.273606,0.000000,0.952439
5,One Free-rider,60,Shapley (noisy),20.0,-0.865373,0.000000,0.752439
5,One Free-rider,61,Equal,,0.000000,0.000000,0.762438
5,One Free-rider,61,Peer,8.0,0.991534,1.000000,0.983360
5,One Free-rider,61,Instructor,12.0,0.873137,1.000000,0.994490
5,One Free-rider,61,CATME,5.0,0.950762,1.000000,0.958598
5,One Free-rider,61,Shapley (clean),0.0,0.975169,1.000000,0.947970
5,One Free-rider,61,Shapley (noisy),4.0,0.906907,1.000000,0.837562
5,One Free-rider,61,Shapley (noisy),8.0,-0.777463,0.000000,0.837562
5,One Free-rider,61,Shapley (noisy),12.0,-0.777463,0.000000,0.837562
5,One Free-rider,61,Shapley (noisy),16.0,-0.777463,0.000000,0.837562
5,One Free-rider,61,Shapley (noisy),20.0,0.134004,0.000000,0.637562
5,One Free-rider,62,Equal,,0.000000,0.000000,0.760419
5,One Free-rider,62,Peer,8.0,0.897728,0.500000,0.981492
5,One Free-rider,62,Instructor,12.0,0.836648,1.000000,0.959771
5,One Free-rider,62,CATME,5.0,0.945804,0.500000,0.962657
5,One Free-rider,62,Shapley (clean),0.0,0.974016,1.000000,0.989828
5,One Free-rider,62,Shapley (noisy),4.0,0.356377,0.000000,0.639581
5,One Free-rider,62,Shapley (noisy),8.0,0.544686,0.000000,0.439581
5,One Free-rider,62,Shapley (noisy),12.0,0.326475,0.000000,0.439581
5,One Free-rider,62,Shapley (noisy),16.0,-0.544686,0.000000,0.960419
5,One Free-rider,62,Shapley (noisy),20.0,0.387349,0.000000,0.639581
5,One Free-rider,63,Equal,,0.000000,0.000000,0.696695
5,One Free-rider,63,Peer,8.0,0.968962,1.000000,0.904602
5,One Free-rider,63,Instructor,12.0,0.931960,1.000000,0.914995
5,One Free-rider,63,CATME,5.0,0.949272,1.000000,0.983747
5,One Free-rider,63,Shapley (clean),0.0,0.954411,1.000000,0.976032
5,One Free-rider,63,Shapley (noisy),4.0,-0.538628,0.000000,0.703305
5,One Free-rider,63,Shapley (noisy),8.0,-0.538628,0.000000,0.703305
5,One Free-rider,63,Shapley (noisy),12.0,-0.656621,0.000000,0.896695
5,One Free-rider,63,Shapley (noisy),16.0,0.812566,0.000000,0.703305
5,One Free-rider,63,Shapley (noisy),20.0,0.335504,0.000000,0.896695
5,One Free-rider,64,Equal,,0.000000,0.000000,0.697501
5,One Free-rider,64,Peer,8.0,0.945365,1.000000,0.923206
5,One Free-rider,64,Instructor,12.0,0.726608,1.000000,0.888095
5,One Free-rider,64,CATME,5.0,0.966745,1.000000,0.932292
5,One Free-rider,64,Shapley (clean),0.0,0.975707,1.000000,0.963965
5,One Free-rider,64,Shapley (noisy),4.0,0.180358,0.000000,0.702499
5,One Free-rider,64,Shapley (noisy),8.0,-0.706792,0.000000,0.897501
5,One Free-rider,64,Shapley (noisy),12.0,-0.400787,0.000000,0.897501
5,One Free-rider,64,Shapley (noisy),16.0,-0.257360,0.000000,0.702499
5,One Free-rider,64,Shapley (noisy),20.0,-0.706792,0.000000,0.897501
5,One Free-rider,65,Equal,,0.000000,,0.816281
5,One Free-rider,65,Peer,8.0,0.878068,,0.983204
5,One Free-rider,65,Instructor,12.0,0.792434,,0.996610
5,One Free-rider,65,CATME,5.0,0.923228,,0.994423
5,One Free-rider,65,Shapley (clean),0.0,0.940726,,0.919514
5,One Free-rider,65,Shapley (noisy),4.0,0.000000,,0.816281
5,One Free-rider,65,Shapley (noisy),8.0,0.854671,,0.583719
5,One Free-rider,65,Shapley (noisy),12.0,-0.601998,,0.583719
5,One Free-rider,65,Shapley (noisy),16.0,-0.597363,,0.783719
5,One Free-rider,65,Shapley (noisy),20.0,-0.059065,,0.383719
5,One Free-rider,66,Equal,,0.000000,0.000000,0.750919
5,One Free-rider,66,Peer,8.0,0.767328,1.000000,0.976186
5,One Free-rider,66,Instructor,12.0,0.512290,0.500000,0.991172
5,One Free-rider,66,CATME,5.0,0.740684,1.000000,0.999216
5,One Free-rider,66,Shapley (clean),0.0,0.941240,1.000000,0.889056
5,One Free-rider,66,Shapley (noisy),4.0,-0.261057,0.000000,0.649081
5,One Free-rider,66,Shapley (noisy),8.0,-0.879419,0.000000,0.636902
5,One Free-rider,66,Shapley (noisy),12.0,0.110326,0.000000,0.649081
5,One Free-rider,66,Shapley (noisy),16.0,-0.256124,0.000000,0.849081
5,One Free-rider,66,Shapley (noisy),20.0,0.863501,0.000000,0.649081
5,One Free-rider,67,Equal,,0.000000,0.000000,0.773811
5,One Free-rider,67,Peer,8.0,0.941995,1.000000,0.996497
5,One Free-rider,67,Instructor,12.0,0.895606,1.000000,0.956382
5,One Free-rider,67,CATME,5.0,0.978065,1.000000,0.987914
5,One Free-rider,67,Shapley (clean),0.0,0.974891,1.000000,0.941520
5,One Free-rider,67,Shapley (noisy),4.0,-0.889850,0.000000,0.626189
5,One Free-rider,67,Shapley (noisy),8.0,0.226851,1.000000,0.826189
5,One Free-rider,67,Shapley (noisy),12.0,-0.565421,0.000000,0.973811
5,One Free-rider,67,Shapley (noisy),16.0,-0.565421,0.000000,0.973811
5,One Free-rider,67,Shapley (noisy),20.0,0.390942,1.000000,0.826189
5,One Free-rider,68,Equal,,0.000000,0.000000,0.733043
5,One Free-rider,68,Peer,8.0,0.891862,1.000000,0.952192
5,One Free-rider,68,Instructor,12.0,0.783086,1.000000,0.993248
5,One Free-rider,68,CATME,5.0,0.871406,1.000000,0.963091
5,One Free-rider,68,Shapley (clean),0.0,0.939529,1.000000,0.976174
5,One Free-rider,68,Shapley (noisy),4.0,-0.713298,0.000000,0.866957
5,One Free-rider,68,Shapley (noisy),8.0,0.549922,0.000000,0.666957
5,One Free-rider,68,Shapley (noisy),12.0,0.564493,1.000000,0.866957
5,One Free-rider,68,Shapley (noisy),16.0,0.000000,0.000000,0.733043
5,One Free-rider,68,Shapley (noisy),20.0,0.000000,0.000000,0.733043
5,One Free-rider,69,Equal,,0.000000,0.000000,0.721416
5,One Free-rider,69,Peer,8.0,0.670417,1.000000,0.914165
